"LENDER_NAME";"EMAIL";"LENDER_TYPE_CODE";"LENDER_COUNTRY_CODE";"LENDER_TURNOVER_CCY";"LENDER_TURNOVER_MIN";"LENDER_TURNOVER_MAX";"LENDER_WEBSITE_URL";"LENDER_YEAR_INC";"LENDING_CURRENCY_TYPE"
"BTCJam";"support@btcjam.com";"P2PB-CC";"US";"USD";0;5000;"https://blog.btcjam.com/";0;"CRYPTO"
"Kiva";"contactus@kiva.org";"P2PB-NP";"US";"USD";0;0;"https://www.kiva.org/";0;"REGULAR"
"Lending Club";"support@lendingclub.com";"P2PB-CC";"US";"USD";0;0;"https://www.lendingclub.com/";0;"REGULAR"
"Peerform";"investing@peerform.com";"P2P-CC";"US";"USD";0;0;"https://www.peerform.com/";0;"REGULAR"
"Prosper Marketplace";"support@prosper.com";"P2P-CC";"US";"USD";0;0;"https://www.prosper.com/";0;"REGULAR"
"SoFi";"customerservice@sofi.com";"P2P-CC";"US";"USD";0;0;"https://www.sofi.com/";0;"REGULAR"
"United Prosperity";"contactus@unitedprosperity.org";"P2P-NP";"US";"USD";0;0;"http://unitedprosperity.org/";0;"REGULAR"
"Upstart";"support@upstart.com";"P2PB-CC";"US";"USD";0;0;"https://www.upstart.com/";0;"REGULAR"
"Zidisha";"team@zidisha.org";"P2PB-NP";"US";"USD";0;0;"https://www.zidisha.org/";0;"REGULAR"
"Dianrong";"support@dianrong.com";"P2B-CC";"CN";"CNY";0;0;"http://en.dianrong.com/";0;"REGULAR"
"Lufax";"greg@lu.com";"P2PB-CC";"CN";"CNY";0;0;"http://www.lu.com/";0;"REGULAR"
"Qifang (Defunct)";"qfbao@mit.edu";"P2P-CC";"CN";"CNY";0;0;"dfgfdghfghfgh";0;"REGULAR"
"Funding Societies";"info@fundingsocieties.com";"P2PB-CC";"SG";"SGD";0;0;"https://fundingsocieties.com/";0;"REGULAR"
"Capital Match";"support@capital-match.com";"P2B-CC";"SG";"SGD";0;99400000;"https://www.capital-match.com/";0;"REGULAR"
"Erento";"info@erento.com";"P2P-CC";"DE";"EUR";0;0;"https://www.erento.com/";0;"REGULAR"
"Lendico";"info@lendico.de";"P2PB-CC";"DE";"EUR";0;150000;"https://www.lendico.de/";0;"REGULAR"
"Zencap Global Services";"info@zencap.de";"P2PB-CC";"DE";"EUR";0;250000;"https://www.zencap.de/";0;"REGULAR"
"Abundance Investment";"support@abundanceinvestment.com";"P2PB-CC";"GB";"GBP";0;0;"https://www.abundanceinvestment.com/";0;"REGULAR"
"Assetz Capital";"enquiries@assetzcapital.co.uk";"P2B-CC";"GB";"GBP";0;0;"https://www.assetzcapital.co.uk/";0;"REGULAR"
"BondMason";"invest@bondmason.com";"P2PB-CC";"GB";"GBP";0;0;"https://www.bondmason.com/";0;"REGULAR"
"EdAid";"team@edaid.com";"P2P-CC";"GB";"GBP";0;0;"https://www.edaid.com/";0;"REGULAR"
"Folk2Folk";"enquiries@FOLK2FOLK.com";"P2B-CC";"GB";"GBP";0;1900000000;"https://www.folk2folk.com/";0;"REGULAR"
"Landbay";"landbay@teamspiritpr.com";"P2P-CC";"GB";"GBP";0;168000000;"https://landbay.co.uk/";0;"REGULAR"
"LandlordInvest";"borrower@landlordinvest.com";"P2P-CC";"GB";"GBP";0;0;"https://landlordinvest.com/";0;"REGULAR"
"LendInvest";"borrow@lendinvest.com";"P2PB-CC";"GB";"GBP";0;0;"https://www.lendinvest.com/";0;"REGULAR"
"LendingCrowd";"complaints@lendingcrowd.com";"P2PB-CC";"GB";"GBP";0;0;"https://www.lendingcrowd.com/";0;"REGULAR"
"Microloan";"contact@mlf.org.uk";"P2P-NP";"GB";"GBP";0;0;"https://www.microloanfoundation.org.uk/";0;"REGULAR"
"RebuildingSociety.com";"support@rebuildingsociety.com";"P2PB-CC";"GB";"GBP";0;0;"https://www.rebuildingsociety.com/";0;"REGULAR"
"ThinCats";"admin@thincats.com";"P2PB-CC";"GB";"GBP";0;260000000;"https://www.thincats.com/";0;"REGULAR"
"Unbolted";"support@unbolted.com";"P2P-CC";"GB";"GBP";0;0;"https://www.unbolted.com/uk/";0;"REGULAR"
"Wellesley & Co";"info@wellesley.co.uk";"P2PB-CC";"GB";"GBP";0;670000000;"https://www.wellesley.co.uk/";0;"REGULAR"
"Zopa";"contactus@zopa.com";"P2PB-CC";"GB";"GBP";0;993000000;"https://www.zopa.com/";0;"REGULAR"
"Harmoney";"investorservices@harmoney.co.nz";"P2P-CC";"NZ";"NZD";0;70000;"https://www.harmoney.co.nz/";0;"REGULAR"
